rel_abund_1	period	iter_converged	EX_Bio(e) (1) fluxes
0.5172361809045226	1	3	5.172361809045,5.172361809045,5.172361809045,5.172361809045
0.5221608040201006	1	3	5.221608040201,5.221608040201,5.221608040201,5.221608040201
0.5270854271356784	1	3	5.270854271357,5.270854271357,5.270854271357,5.270854271357
0.5320100502512564	1	3	5.320100502513,5.320100502513,5.320100502513,5.320100502513
0.5369346733668342	1	3	5.369346733668,5.369346733668,5.369346733668,5.369346733668
0.541859296482412	1	3	5.418592964824,5.418592964824,5.418592964824,5.418592964824
0.54678391959799	1	3	5.467839195980,5.467839195980,5.467839195980,5.467839195980
0.5517085427135678	1	3	5.517085427136,5.517085427136,5.517085427136,5.517085427136
0.5566331658291458	1	3	5.566331658291,5.566331658291,5.566331658291,5.566331658291
0.5615577889447236	1	3	5.615577889447,5.615577889447,5.615577889447,5.615577889447
0.5664824120603016	1	3	5.664824120603,5.664824120603,5.664824120603,5.664824120603
0.5714070351758794	1	3	5.714070351759,5.714070351759,5.714070351759,5.714070351759
0.5763316582914573	1	3	5.763316582915,5.763316582915,5.763316582915,5.763316582915
0.5812562814070352	1	3	5.812562814070,5.812562814070,5.812562814070,5.812562814070
0.5861809045226131	1	3	5.861809045226,5.861809045226,5.861809045226,5.861809045226
0.591105527638191	1	3	5.911055276382,5.911055276382,5.911055276382,5.911055276382
0.5960301507537689	1	3	5.960301507538,5.960301507538,5.960301507538,5.960301507538
0.6009547738693468	1	3	6.009547738693,6.009547738693,6.009547738693,6.009547738693
0.6058793969849247	1	3	6.058793969849,6.058793969849,6.058793969849,6.058793969849
0.6108040201005025	1	3	6.108040201005,6.108040201005,6.108040201005,6.108040201005
0.6157286432160805	1	3	6.157286432161,6.157286432161,6.157286432161,6.157286432161
0.6206532663316583	1	3	6.206532663317,6.206532663317,6.206532663317,6.206532663317
0.6255778894472362	1	3	6.255778894472,6.255778894472,6.255778894472,6.255778894472
0.6305025125628141	1	3	6.305025125628,6.305025125628,6.305025125628,6.305025125628
0.635427135678392	1	3	6.354271356784,6.354271356784,6.354271356784,6.354271356784
0.6403517587939699	1	3	6.403517587940,6.403517587940,6.403517587940,6.403517587940
0.6452763819095477	1	3	6.452763819095,6.452763819095,6.452763819095,6.452763819095
