model,node_id,node_type,organism
BI,cbp[c]__Org1,met,Org1
BI,pi[c]__Org1,met,Org1
BI,ACODAr__Org1,rxn,Org1
BI,orn[c]__Org1,met,Org1
BI,ac[c]__Org1,met,Org1
BI,acorn[c]__Org1,met,Org1
BI,h2o[c]__Org1,met,Org1
BI,ACONTa__Org1,rxn,Org1
BI,acon_C[c]__Org1,met,Org1
BI,cit[c]__Org1,met,Org1
BI,h2o[c]__Org1,met,Org1
BI,ACONTb__Org1,rxn,Org1
BI,icit[c]__Org1,met,Org1
BI,acon_C[c]__Org1,met,Org1
BI,h2o[c]__Org1,met,Org1
BI,ACOTA__Org1,rxn,Org1
BI,acg5sa[c]__Org1,met,Org1
BI,akg[c]__Org1,met,Org1
BI,acorn[c]__Org1,met,Org1
BI,glu_L[c]__Org1,met,Org1
BI,ACPS1__Org1,rxn,Org1
BI,ACP[c]__Org1,met,Org1
BI,apoACP[c]__Org1,met,Org1
BI,pap[c]__Org1,met,Org1
BI,coa[c]__Org1,met,Org1
BI,h[c]__Org1,met,Org1
BI,ACYP__Org1,rxn,Org1
BI,13dpg[c]__Org1,met,Org1
BI,3pg[c]__Org1,met,Org1
BI,h2o[c]__Org1,met,Org1
BI,h[c]__Org1,met,Org1
BI,pi[c]__Org1,met,Org1
BI,ACYP_2__Org1,rxn,Org1
BI,ac[c]__Org1,met,Org1
BI,actp[c]__Org1,met,Org1
BI,h2o[c]__Org1,met,Org1
BI,h[c]__Org1,met,Org1
BI,pi[c]__Org1,met,Org1
BI,ACtr__Org1,rxn,Org1
BI,ac[e]__Org1,met,Org1
BI,ac[c]__Org1,met,Org1
BI,ADCL__Org1,rxn,Org1
BI,4adcho[c]__Org1,met,Org1
BI,4abz[c]__Org1,met,Org1
BI,h[c]__Org1,met,Org1
BI,pyr[c]__Org1,met,Org1
BI,ADCS__Org1,rxn,Org1
BI,chor[c]__Org1,met,Org1
BI,gln_L[c]__Org1,met,Org1
BI,4adcho[c]__Org1,met,Org1
BI,glu_L[c]__Org1,met,Org1
BI,ADK1__Org1,rxn,Org1
BI,amp[c]__Org1,met,Org1
BI,adp[c]__Org1,met,Org1
BI,atp[c]__Org1,met,Org1
BI,ADK10__Org1,rxn,Org1
BI,dtdp[c]__Org1,met,Org1
BI,dttp[c]__Org1,met,Org1
BI,adp[c]__Org1,met,Org1
BI,amp[c]__Org1,met,Org1
BI,ADK11__Org1,rxn,Org1
BI,dudp[c]__Org1,met,Org1
BI,dutp[c]__Org1,met,Org1
BI,adp[c]__Org1,met,Org1
BI,amp[c]__Org1,met,Org1
BI,ADK2__Org1,rxn,Org1
BI,ppi[c]__Org1,met,Org1
BI,pppi[c]__Org1,met,Org1
BI,adp[c]__Org1,met,Org1
BI,amp[c]__Org1,met,Org1
BI,ADK3__Org1,rxn,Org1
BI,gdp[c]__Org1,met,Org1
BI,gtp[c]__Org1,met,Org1
BI,adp[c]__Org1,met,Org1
BI,amp[c]__Org1,met,Org1
BI,ADK5__Org1,rxn,Org1
BI,cdp[c]__Org1,met,Org1
BI,ctp[c]__Org1,met,Org1
BI,adp[c]__Org1,met,Org1
BI,amp[c]__Org1,met,Org1
BI,ADK7__Org1,rxn,Org1
BI,dadp[c]__Org1,met,Org1
BI,datp[c]__Org1,met,Org1
BI,adp[c]__Org1,met,Org1
BI,amp[c]__Org1,met,Org1
BI,ADK8__Org1,rxn,Org1
BI,dcdp[c]__Org1,met,Org1
BI,dctp[c]__Org1,met,Org1
BI,adp[c]__Org1,met,Org1
BI,amp[c]__Org1,met,Org1
BI,ADK9__Org1,rxn,Org1
BI,dgdp[c]__Org1,met,Org1
BI,dgtp[c]__Org1,met,Org1
BI,adp[c]__Org1,met,Org1
BI,amp[c]__Org1,met,Org1
BI,ADNCYC__Org1,rxn,Org1
BI,camp[c]__Org1,met,Org1
BI,atp[c]__Org1,met,Org1
BI,ppi[c]__Org1,met,Org1
BI,ADNUC__Org1,rxn,Org1
BI,ade[c]__Org1,met,Org1
BI,adn[c]__Org1,met,Org1
BI,rib_D[c]__Org1,met,Org1
BI,h2o[c]__Org1,met,Org1
BI,ADPT__Org1,rxn,Org1
BI,prpp[c]__Org1,met,Org1
BI,ade[c]__Org1,met,Org1
BI,amp[c]__Org1,met,Org1
BI,ppi[c]__Org1,met,Org1
BI,ADSL1r__Org1,rxn,Org1
BI,dcamp[c]__Org1,met,Org1
BI,fum[c]__Org1,met,Org1
BI,amp[c]__Org1,met,Org1
BI,ADSL2r__Org1,rxn,Org1
BI,25aics[c]__Org1,met,Org1
BI,aicar[c]__Org1,met,Org1
BI,fum[c]__Org1,met,Org1
BI,ADSS__Org1,rxn,Org1
BI,asp_L[c]__Org1,met,Org1
BI,imp[c]__Org1,met,Org1
BI,dcamp[c]__Org1,met,Org1
BI,gdp[c]__Org1,met,Org1
BI,gtp[c]__Org1,met,Org1
BI,h[c]__Org1,met,Org1
BI,pi[c]__Org1,met,Org1
BI,AGDC__Org1,rxn,Org1
BI,gam6p[c]__Org1,met,Org1
BI,ac[c]__Org1,met,Org1
BI,acgam6p[c]__Org1,met,Org1
BI,h2o[c]__Org1,met,Org1
BI,AGPAT120__Org1,rxn,Org1
BI,1ddecg3p[c]__Org1,met,Org1
BI,ddcaACP[c]__Org1,met,Org1
BI,pa120[c]__Org1,met,Org1
BI,ACP[c]__Org1,met,Org1
BI,AGPAT140__Org1,rxn,Org1
BI,myrsACP[c]__Org1,met,Org1
BI,1tdecg3p[c]__Org1,met,Org1
BI,ACP[c]__Org1,met,Org1
BI,pa140[c]__Org1,met,Org1
BI,AGPAT141__Org1,rxn,Org1
BI,1tdec7eg3p[c]__Org1,met,Org1
BI,pa141[c]__Org1,met,Org1
BI,tdeACP[c]__Org1,met,Org1
BI,ACP[c]__Org1,met,Org1
BI,AGPAT160__Org1,rxn,Org1
BI,palmACP[c]__Org1,met,Org1
BI,1hdecg3p[c]__Org1,met,Org1
BI,ACP[c]__Org1,met,Org1
BI,pa160[c]__Org1,met,Org1
BI,AGPAT161__Org1,rxn,Org1
BI,1hdec9eg3p[c]__Org1,met,Org1
BI,hdeACP[c]__Org1,met,Org1
BI,pa161[c]__Org1,met,Org1
BI,ACP[c]__Org1,met,Org1
BI,AGPAT180__Org1,rxn,Org1
BI,ocdcaACP[c]__Org1,met,Org1
BI,1odecg3p[c]__Org1,met,Org1
BI,ACP[c]__Org1,met,Org1
BI,pa180[c]__Org1,met,Org1
BI,AGPAT181__Org1,rxn,Org1
BI,1odec11eg3p[c]__Org1,met,Org1
BI,octeACP[c]__Org1,met,Org1
BI,pa181[c]__Org1,met,Org1
BI,ACP[c]__Org1,met,Org1
BI,AGPR__Org1,rxn,Org1
BI,acg5p[c]__Org1,met,Org1
BI,acg5sa[c]__Org1,met,Org1
BI,h[c]__Org1,met,Org1
BI,nadp[c]__Org1,met,Org1
BI,nadph[c]__Org1,met,Org1
BI,pi[c]__Org1,met,Org1
BI,AHC__Org1,rxn,Org1
BI,hcys_L[c]__Org1,met,Org1
BI,adn[c]__Org1,met,Org1
BI,ahcys[c]__Org1,met,Org1
BI,h2o[c]__Org1,met,Org1
BI,AHCYSNS_r__Org1,rxn,Org1
BI,rhcys[c]__Org1,met,Org1
BI,ade[c]__Org1,met,Org1
BI,ahcys[c]__Org1,met,Org1
BI,h2o[c]__Org1,met,Org1
BI,AHEXASE3__Org1,rxn,Org1
BI,chtbs[c]__Org1,met,Org1
BI,acgam[c]__Org1,met,Org1
BI,h2o[c]__Org1,met,Org1
BI,AHSERL2__Org1,rxn,Org1
BI,achms[c]__Org1,met,Org1
BI,h2s[c]__Org1,met,Org1
BI,ac[c]__Org1,met,Org1
BI,h[c]__Org1,met,Org1
BI,hcys_L[c]__Org1,met,Org1
BI,AHSERL3__Org1,rxn,Org1
BI,so3[c]__Org1,met,Org1
BI,trdox[c]__Org1,met,Org1
BI,trdrd[c]__Org1,met,Org1
BI,tsul[c]__Org1,met,Org1
BI,ac[c]__Org1,met,Org1
BI,achms[c]__Org1,met,Org1
BI,h[c]__Org1,met,Org1
BI,hcys_L[c]__Org1,met,Org1
BI,AICART__Org1,rxn,Org1
BI,10fthf[c]__Org1,met,Org1
BI,fprica[c]__Org1,met,Org1
BI,thf[c]__Org1,met,Org1
BI,aicar[c]__Org1,met,Org1
BI,AIRC4__Org1,rxn,Org1
BI,hco3[c]__Org1,met,Org1
BI,5aizc[c]__Org1,met,Org1
BI,adp[c]__Org1,met,Org1
BI,air[c]__Org1,met,Org1
BI,atp[c]__Org1,met,Org1
BI,h[c]__Org1,met,Org1
BI,pi[c]__Org1,met,Org1
BI,AKGS__Org1,rxn,Org1
BI,succoa[c]__Org1,met,Org1
BI,akg[c]__Org1,met,Org1
BI,co2[c]__Org1,met,Org1
BI,coa[c]__Org1,met,Org1
BI,nad[c]__Org1,met,Org1
BI,nadh[c]__Org1,met,Org1
BI,AKP1__Org1,rxn,Org1
BI,ahdt[c]__Org1,met,Org1
BI,dhnpt[c]__Org1,met,Org1
BI,h2o[c]__Org1,met,Org1
BI,h[c]__Org1,met,Org1
BI,pi[c]__Org1,met,Org1
BI,AKVALS__Org1,rxn,Org1
BI,akval[c]__Org1,met,Org1
BI,2obut[c]__Org1,met,Org1
BI,accoa[c]__Org1,met,Org1
BI,co2[c]__Org1,met,Org1
BI,coa[c]__Org1,met,Org1
BI,h2o[c]__Org1,met,Org1
BI,h[c]__Org1,met,Org1
BI,nad[c]__Org1,met,Org1
BI,nadh[c]__Org1,met,Org1
BI,ALAALA__Org1,rxn,Org1
BI,ala_D[c]__Org1,met,Org1
BI,alaala[c]__Org1,met,Org1
BI,adp[c]__Org1,met,Org1
BI,atp[c]__Org1,met,Org1
BI,h[c]__Org1,met,Org1
BI,pi[c]__Org1,met,Org1
BI,ALAASP1c__Org1,rxn,Org1
