simulation,tradeoff,Org1_growth,Org2_growth
2.0,0.19999999999999996,0.04147595631940829,0.04147595757839572
2.0,0.18999999999999995,0.03940215904705893,0.039402159083909385
2.0,0.17999999999999994,0.037328361197270954,0.037328361244521574
2.0,0.16999999999999993,0.03525456334391006,0.035254563408722656
2.0,0.16000000000000003,0.033180765436262534,0.03318076563778298
2.0,0.15000000000000002,0.031106967646539318,0.031106967727357434
2.0,0.14,0.029033169799339422,0.02903316987978591
2.0,0.13,0.026959371965813796,0.02695937202305587
2.0,0.12,0.024885574118153536,0.024885574187987303
2.0,0.10999999999999999,0.022811776259885203,0.022811776350937757
2.0,0.09999999999999998,0.020737978412503577,0.020737978503467945
2.0,0.08999999999999997,0.018664180560863147,0.018664180665040976
2.0,0.07999999999999996,0.016590382741689506,0.016590382794080698
2.0,0.06999999999999995,0.014516584733936357,0.014516585138972606
2.0,0.05999999999999994,0.01244278705128141,0.01244278710641087
2.0,0.04999999999999993,0.010368989187302306,0.010368989290812095
2.0,0.040000000000000036,0.008295191290341265,0.008295191497659324
2.0,0.030000000000000027,0.006221393473747269,0.006221393654337775
2.0,0.020000000000000018,0.004147595115775577,0.004147596517990392
2.0,0.010000000000000009,0.002073797623319525,0.0020737984739286307
2.0,0.0,1.688372912532254e-05,2.3609433212124994e-05
